iter	RMSE
0	0.8629344057
1	0.7730483351
2	0.6937703374
3	0.6234194937
4	0.5600984431
5	0.5046726819
6	0.4544287861
7	0.4097516761
8	0.370645381
9	0.3355995431
10	0.3043300002
11	0.2775074345
12	0.2530286797
13	0.2310922814
14	0.2117090245
15	0.1945954335
16	0.179234236
17	0.165401718
18	0.1531797371
19	0.1427094674
20	0.1331286344
21	0.1252187565
22	0.1180585115
23	0.1115700943
24	0.1059418144
25	0.1011534464
26	0.09669916118
27	0.09295364213
28	0.08951730586
29	0.08651865855
30	0.08402392029
31	0.08165991432
32	0.07964005428
33	0.07797876105
34	0.07653237814
35	0.07503351537
36	0.07386404868
37	0.07274574984
38	0.07185604024
39	0.071032168
40	0.07037700167
41	0.06963241066
42	0.06904723299
43	0.06856493789
44	0.06807816222
45	0.06757839667
46	0.06715701307
47	0.06682477896
48	0.06654297813
49	0.06622370618
50	0.0659508033
51	0.06574333093
52	0.06552570276
53	0.06534378651
54	0.06518922577
55	0.06496545063
56	0.06480249566
57	0.06467879172
58	0.06456962623
59	0.06447072451
60	0.06431276543
61	0.06416161043
62	0.06408689526
63	0.06402373135
64	0.06388102451
65	0.06379232346
66	0.06370322039
67	0.06359862156
68	0.06348685785
69	0.06344217216
70	0.06331295573
71	0.06321891625
72	0.06315528898
73	0.06306766579
74	0.06301584363
75	0.06297624676
76	0.06287767786
77	0.06281698103
78	0.06275949265
79	0.06270363067
80	0.06265319035
81	0.06258441677
82	0.06252975356
83	0.06247501772
84	0.06242633692
85	0.06238450589
86	0.06234004953
87	0.0622776615
88	0.06223762075
89	0.06217437649
90	0.06214504578
91	0.06210864261
92	0.06206714147
93	0.06199817549
94	0.06194913218
95	0.06192008445
96	0.06188504073
97	0.06182872619
98	0.06178126326
99	0.06173208269
100	0.06168979757
101	0.06164989204
102	0.06161247214
103	0.06158634026
104	0.06155428129
105	0.06152245145
106	0.06149115427
107	0.06145255271
108	0.06140591463
109	0.06138433207
110	0.06135465644
111	0.06132599697
112	0.06129094826
113	0.06126907113
114	0.06122767775
115	0.06118332642
116	0.06115421795
117	0.06112469678
118	0.06109347791
119	0.06106633478
120	0.06103645367
121	0.06100958996
122	0.06097760026
123	0.06095722722
124	0.06092569858
125	0.06090393743
126	0.0608861234
127	0.060868717
128	0.06083891138
129	0.06081807673
130	0.06078859146
131	0.06076667735
132	0.06074425453
133	0.06072579596
134	0.06069925832
135	0.06067365029
136	0.06064147922
137	0.06060707453
138	0.06059208717
139	0.06056972052
140	0.06055391319
141	0.06053602733
142	0.06051788435
143	0.06050246224
144	0.06048069213
145	0.06046964942
146	0.06045491418
147	0.06044145809
148	0.06042359392
149	0.06040281984
150	0.06038022728
151	0.06036011785
152	0.06035041392
153	0.06033213791
154	0.06031907029
155	0.06030132073
156	0.06029262099
157	0.06027790437
158	0.06025625599
159	0.06022794385
160	0.06020951283
161	0.06019220245
162	0.06017647032
163	0.0601596226
164	0.06014398674
165	0.06013077203
166	0.06010940205
167	0.06009653953
168	0.06008016709
169	0.06006700692
170	0.06004866877
171	0.06003658485
172	0.06002279892
173	0.06000179809
174	0.05999105178
175	0.05998026197
176	0.05996913282
177	0.05995455583
178	0.05993901205
179	0.05992479602
180	0.0599096563
181	0.05989129346
182	0.05988192456
183	0.05987225219
184	0.05986228925
185	0.05985421462
186	0.05984221171
187	0.05982128054
188	0.05980811704
189	0.05979984231
190	0.05978762755
191	0.05977328324
192	0.05975853605
193	0.05974784872
194	0.05973638085
195	0.0597273264
196	0.05971842108
197	0.0597075109
198	0.05969444779
199	0.05968626623
200	0.05967119533
201	0.05966059381
202	0.05965125034
203	0.05964361714
204	0.05963468971
205	0.05962762039
206	0.05961593295
207	0.05960552293
208	0.05959611975
209	0.05958678172
210	0.05957853447
211	0.05957204255
212	0.05956479934
213	0.0595563786
214	0.05954631317
215	0.0595383984
216	0.05952631019
217	0.05951357379
218	0.0595046533
219	0.05949342133
220	0.05948184424
221	0.05946753342
222	0.05945231783
223	0.05944622027
224	0.05943555675
225	0.05942660838
226	0.05941740632
227	0.05940653884
228	0.05939846682
229	0.05938792125
230	0.05937806342
231	0.05937167409
232	0.05936392629
233	0.05935866733
234	0.05934998243
235	0.05934090728
236	0.05933368293
237	0.05932672946
238	0.05931297581
239	0.05930677167
240	0.05929983609
241	0.05928664454
242	0.05927726838
243	0.05927256133
244	0.05926441689
245	0.05925995388
246	0.05925342198
247	0.05924601917
248	0.05923365729
249	0.05922697389
250	0.05921504653
251	0.05920900885
252	0.05919850912
253	0.05919056677
254	0.05918353496
255	0.0591789337
256	0.05916963507
257	0.05916435997
258	0.05915903376
259	0.0591509018
260	0.05914232629
261	0.05913669586
262	0.05913080314
263	0.05912355734
264	0.05911380923
265	0.05910831605
266	0.05910302567
267	0.05909330876
268	0.05908531845
269	0.05907920926
270	0.05906858274
271	0.05906534957
272	0.0590558305
273	0.05904701364
274	0.05903608855
275	0.05903078001
276	0.05901853974
277	0.05901143327
278	0.05900413719
